CategoryID,TimeID,SampleID,RegionID,Bundle_No,T0,T2,T3,T4,T5,T7,Orientation_AP,Orientation_DV,imgX_pixel,imgX_um,imgY_pixel,imgY_um,is_Crowded,is_Edge,is_Heel_Issues,is_Irregular,is_Mirror_Symmetry,is_Weak_FasII,is_symFate,coord_X_R1,coord_Y_R1,coord_X_T0,coord_Y_T0,coord_X_R2,coord_Y_R2,coord_X_T2,coord_Y_T2,coord_X_R3,coord_Y_R3,coord_X_T3,coord_Y_T3,coord_X_R4,coord_Y_R4,coord_X_T4,coord_Y_T4,coord_X_R5,coord_Y_R5,coord_X_T5,coord_Y_T5,coord_X_R6,coord_Y_R6,coord_X_T7,coord_Y_T7,symmetry,aT7cT4,aT3cT4,aT3cT7,aT2cT4,aT5cT4,aT2cT5
Fz,24,1,1,1,14,26,45,46,47,48,P,R,1792,161.06,544,48.89,0,0,0,1,0,0,0,-0.971838639,0.524892632,-1.848004512,-0.056962262,0.441458144,0.771858344,1.478143064,2.356856032,2.060338346,0.568379999,12.10239941,3.338656382,1.927464927,-0.272060765,7.81469839,0.114081203,0.145712402,-1.08291831,2.653622564,-2.634545947,-1.365293089,-1.052166278,12.58166895,-1.775896639,0.393643108,0.170110017,0.280544378,0.450654395,0.996042763,0.796388014,1.792430777
Fz,24,1,1,2,15,16,29,36,34,37,P,R,1792,161.06,544,48.89,0,1,0,0,0,0,0,-1.429897118,0.490258775,-2.253685029,-0.293220336,0.297328269,0.578763384,2.925170251,1.995698178,1.986312084,0.493919094,11.79754529,2.933593834,1.890563529,-0.258342795,7.356153189,0.224339809,-0.286212073,-1.024590305,2.293179894,-2.163319758,-1.753554857,-1.064676862,11.80977142,-1.61378833,0.227156834,0.194353898,0.251479092,0.44583299,0.568226354,0.786754357,1.354980711
Fz,24,1,1,3,16,25,28,29,36,38,P,R,1792,161.06,544,48.89,0,0,0,0,0,0,0,-1.186549003,0.521972398,-1.768257658,-0.222909908,0.307383762,0.754599769,2.855462025,-2.364602126,1.652621807,0.51113556,9.51744686,2.94362903,1.505267995,-0.242670384,7.213158379,0.220698875,0.256685621,-0.961245555,1.040497173,2.572715232,-1.073991369,-1.021679901,11.65230946,-1.878516268,0.299467588,0.22224983,0.317258455,0.539508285,0.722227712,1.155885005,1.878112717
Fz,24,1,1,4,17,31,25,16,15,36,P,R,1792,161.06,544,48.89,0,1,0,0,0,0,0,-1.288467178,-0.147980742,-2.190862268,-0.689170627,0.013097477,0.414544407,0.149448539,2.031547131,1.306286395,0.36661029,9.321194009,2.616000325,1.780948005,-0.387059339,5.999318594,0.168439998,0.794704088,-1.203427754,2.217507372,-2.865923072,-0.564390913,-1.531274391,10.06260573,-2.186939489,0.026921502,0.278900227,0.28661637,0.565516597,1.469295546,0.940336956,2.409632502
Fz,24,1,1,5,18,17,16,15,33,34,P,R,1792,161.06,544,48.89,0,1,0,1,0,0,0,-1.76052745,1.567968567,-3.443960837,0.784362189,-0.206451264,1.165907927,0.344624976,2.861471732,0.810014833,0.28027577,8.110433301,2.806316437,1.604199283,-0.425407374,5.694856243,0.044756712,-0.359910665,-0.206866546,2.031301091,-2.114508302,-1.478657699,-0.029483643,9.890648652,-2.622838017,0.181339853,0.283300233,0.346053529,0.629353762,1.443078363,0.813324651,2.256403014
Fz,24,1,1,6,19,20,31,17,18,15,P,R,1792,161.06,544,48.89,0,1,0,0,0,0,0,-0.79092095,0.287662699,-1.998319684,-0.432026596,0.743239518,0.713758969,1.679111833,2.49648386,2.251521518,0.699827916,9.366813488,2.911434562,2.194607506,-0.311551316,6.727729883,0.091918966,1.043463686,-1.538330925,2.916086296,-2.685848217,-0.403438008,-1.601482859,12.13470054,-1.722668818,0.463399307,0.16926386,0.315437274,0.484701134,0.965041822,0.757983388,1.72302521
Fz,24,1,1,7,20,22,23,31,17,16,P,R,1792,161.06,544,48.89,0,1,0,0,0,0,0,-1.053577698,0.763009583,-2.176048615,0.12569256,0.974388834,1.023372074,2.092985113,2.733294915,2.483154493,0.607326118,10.82907137,2.648557669,2.194613697,-0.506300859,6.82297114,0.043979345,0.859112881,-1.176807178,2.945545088,-2.912713531,-0.560803118,-1.312757502,11.82425511,-2.727874401,0.00398653,0.245752021,0.24673564,0.492487661,0.910853678,0.786239589,1.697093267
Fz,24,1,1,8,21,50,53,52,51,54,P,R,1792,161.06,544,48.89,0,0,0,1,0,0,0,-1.935544626,0.43718318,-2.943985068,-0.565488931,-0.161276539,0.758921838,0.975612907,2.123422154,1.234974521,0.348249305,10.07390155,2.840730039,1.288465393,-0.366955166,6.302296757,0.058644828,0.088947501,-1.218346322,2.146859455,-3.132287406,-1.631859357,-1.42856902,10.2501256,-2.91923754,0.068799099,0.306117446,0.285056841,0.591174287,1.130804018,0.97924366,2.110047678
Fz,24,1,1,9,22,32,35,23,31,25,P,R,1792,161.06,544,48.89,0,1,0,0,0,0,0,-1.143287657,0.732800469,-2.041368889,-0.039979416,0.860928084,0.863353728,1.255051031,2.65569152,2.640036627,0.561768945,11.62404979,2.473461967,2.250524178,-0.383343647,5.653825935,0.050164308,0.605575897,-1.215568701,2.891111686,-2.721502231,-0.946239892,-1.277087683,11.99220541,-2.042695567,0.118097274,0.189825522,0.215245419,0.405070941,1.120444457,0.764060421,1.884504878
Fz,24,1,1,10,23,35,40,24,25,28,P,R,1792,161.06,544,48.89,0,1,0,0,0,0,0,-2.053447888,0.923681144,-3.022724584,0.155470439,-0.099402955,0.879917828,-0.009741424,2.771783789,1.432805229,0.433344356,9.569772871,2.894327142,1.43918542,-0.360431237,6.099373957,0.015821613,0.195686569,-1.319801247,2.069858213,-2.506141924,-1.968431784,-1.14782193,10.96956843,-2.74723122,0.148882126,0.255141614,0.29977236,0.554913974,1.571716841,0.883046527,2.454763368
