CategoryID,type_bundle,TimeID,SampleID,RegionID,bundle_no,type_Rcell,angle,length
Ctrl,R3R4,22,2,1,1,3,0.55,1.05
Ctrl,R3R4,22,2,1,1,4,-0.6333,0.9
Ctrl,R3R4,22,2,1,2,3,0.8,1
Ctrl,R3R4,22,2,1,2,4,-0.65,0.8
Ctrl,R3R4,22,2,1,3,3,1.05,1
Ctrl,R3R4,22,2,1,3,4,-0.75,1
Ctrl,R3R4,22,2,1,4,3,0.8,1.05
Ctrl,R3R4,22,2,1,4,4,-0.65,0.8
Ctrl,R3R4,22,2,1,5,4,-0.6625,0.85
Ctrl,R3R4,22,2,1,6,4,-0.1625,0.9
Ctrl,R3R4,22,2,1,7,4,-0.4,0.9
Ctrl,R3R4,22,2,1,8,4,-0.75,0.95
Ctrl,R3R4,22,2,1,9,4,-0.4,0.8
Ctrl,R3R4,22,2,1,10,4,-1.025,1
Ctrl,R3R4,22,2,1,11,4,-0.7,1
Ctrl,R3R4,22,2,1,12,4,-0.625,0.95
Ctrl,R3R4,22,2,1,13,4,-1.05,1.05
Ctrl,R3R4,22,2,1,14,4,-0.875,0.9
Ctrl,R3R4,22,2,1,15,4,-0.4667,0.85
Ctrl,R3R4,22,2,1,17,4,-1.15,0.95
Ctrl,R3R4,22,2,1,18,4,-0.95,1.05
Ctrl,R3R4,22,2,1,19,4,-0.55,1.05
Ctrl,R3R4,22,2,1,20,4,-0.9,1.15
Ctrl,R3R4,22,2,1,21,4,-1.025,0.9
Ctrl,R3R4,22,2,1,22,4,-1.05,1.25
Ctrl,R3R4,22,2,1,23,4,-1.15,0.9
Ctrl,R3R4,22,2,1,24,4,-0.5,0.65
Ctrl,R3R4,22,2,1,26,4,-0.75,1.15
Ctrl,R3R4,22,3,1,1,3,0.525,0.95
Ctrl,R3R4,22,3,1,1,4,-0.75,0.8
Ctrl,R3R4,22,3,1,2,3,1.35,1.3
Ctrl,R3R4,22,3,1,2,4,-0.625,1.15
Ctrl,R3R4,22,3,1,3,3,0.6,1
Ctrl,R3R4,22,3,1,3,4,-0.15,0.75
Ctrl,R3R4,22,3,1,4,3,0.95,1
Ctrl,R3R4,22,3,1,4,4,-0.9125,0.65
Ctrl,R3R4,22,3,1,5,3,0.9,0.9
Ctrl,R3R4,22,3,1,5,4,-0.5,0.8
Ctrl,R3R4,22,3,1,6,4,-1.025,0.75
Ctrl,R3R4,22,3,1,7,4,-1,0.9
Ctrl,R3R4,22,3,1,8,4,-0.8,0.85
Ctrl,R3R4,22,3,1,9,4,-1.075,0.7
Ctrl,R3R4,22,3,1,10,4,-1.175,0.85
Ctrl,R3R4,22,3,1,11,4,-0.9,0.65
Ctrl,R3R4,22,3,1,12,4,-1.25,0.9
Ctrl,R3R4,22,3,1,13,4,-0.6,0.85
Ctrl,R3R4,22,3,1,14,4,-0.65,0.95
Ctrl,R3R4,22,3,1,15,4,-0.15,0.6
Ctrl,R3R4,22,3,1,16,4,-0.225,0.85
Ctrl,R3R4,22,3,1,17,4,-0.75,0.85
Ctrl,R3R4,22,3,1,18,4,-0.7,0.8
Ctrl,R3R4,22,3,1,19,4,-0.575,0.9
Ctrl,R3R4,22,3,1,20,4,-0.625,0.75
Ctrl,R3R4,22,3,1,21,4,-0.9,0.75
Ctrl,R3R4,22,3,1,22,4,-0.675,1
Ctrl,R3R4,22,3,1,23,4,-0.6,0.85
Ctrl,R3R4,22,3,1,24,4,-0.8,0.7
Ctrl,R3R4,22,3,1,25,4,-1.1,1
Ctrl,R3R4,22,3,1,26,4,-0.425,0.85
Ctrl,R3R4,22,3,1,27,4,-0.9,1.1
Ctrl,R3R4,22,3,1,28,4,-1.15,0.85
Ctrl,R3R4,22,3,1,29,4,-0.675,0.8
Ctrl,R3R4,22,3,1,30,4,-0.6,0.95
Ctrl,R3R4,22,3,1,31,4,-0.85,0.85
Ctrl,R3R4,22,3,1,33,4,-0.65,0.9
Ctrl,R3R4,22,3,1,34,4,-0.45,1.05
Ctrl,R3R4,22,3,1,35,4,-0.475,0.85
Ctrl,R3R4,22,3,1,36,4,-0.675,0.75
Ctrl,R3R4,22,3,1,37,4,-0.6,1
Ctrl,R3R4,22,11,1,1,3,0.6,0.95
Ctrl,R3R4,22,11,1,1,4,-0.8,0.9
Ctrl,R3R4,22,11,1,2,4,-0.825,0.85
Ctrl,R3R4,22,11,1,3,3,0.65,1.05
Ctrl,R3R4,22,11,1,5,4,-0.675,0.9
Ctrl,R3R4,22,11,1,6,3,-0.7,0.85
Ctrl,R3R4,22,11,1,6,4,-0.75,1.15
Ctrl,R3R4,22,11,1,7,3,1.05,0.9
Ctrl,R3R4,22,11,1,7,4,-0.45,1.1
Ctrl,R3R4,22,11,1,8,3,0.25,0.8
Ctrl,R3R4,22,11,1,8,4,-1,0.9
Ctrl,R3R4,22,11,1,9,4,-0.775,1.05
Ctrl,R3R4,22,11,1,11,3,0.85,1.25
Ctrl,R3R4,22,11,1,11,4,-0.6,0.95
Ctrl,R3R4,22,11,1,12,3,0.75,0.85
Ctrl,R3R4,22,11,1,12,4,-0.925,1
Ctrl,R3R4,22,11,1,14,3,0.35,0.8
Ctrl,R3R4,22,11,1,14,4,-0.7167,0.8
Ctrl,R3R4,22,11,1,15,3,0.75,1.1
Ctrl,R3R4,22,11,1,15,4,-1.325,1
Ctrl,R3R4,22,11,1,16,3,0.6,0.9
Ctrl,R3R4,22,11,1,16,4,-1.05,0.9
Ctrl,R3R4,22,11,1,17,3,0.9,0.9
Ctrl,R3R4,22,11,1,17,4,-0.2,0.85
Ctrl,R3R4,22,11,1,18,3,0.75,1.15
Ctrl,R3R4,22,11,1,18,4,-0.55,0.95
Ctrl,R3R4,22,11,1,19,3,0.5,0.95
Ctrl,R3R4,22,11,1,19,4,-0.9,1.1
Ctrl,R3R4,22,11,1,20,3,0.9,0.95
Ctrl,R3R4,22,11,1,20,4,-0.95,0.85
Ctrl,R3R4,22,11,1,21,3,0.9,1
Ctrl,R3R4,22,11,1,21,4,-0.75,1
Ctrl,R3R4,22,11,1,24,3,0.75,0.95
Ctrl,R3R4,22,11,1,24,4,-0.125,0.75
Ctrl,R3R4,22,11,1,25,4,-0.9,0.8
Ctrl,R3R4,22,11,1,26,4,0.7,0.75
Ctrl,R3R4,22,11,1,27,4,-0.7833,0.8
Ctrl,R3R4,22,11,1,28,4,-0.8,0.95
Ctrl,R3R4,22,11,1,29,4,0.0375,0.95
Ctrl,R3R4,22,11,1,30,4,-0.525,0.85
Ctrl,R3R4,22,11,1,31,4,-0.6,1.05
Ctrl,R3R4,22,11,1,32,4,-0.425,0.8
Ctrl,R3R4,22,11,1,33,4,-0.65,0.95
Ctrl,R3R4,22,11,1,34,3,0.95,1.25
Ctrl,R3R4,22,11,1,34,4,-0.325,0.95
Ctrl,R3R4,22,11,1,35,4,-0.9,0.8
Ctrl,R3R4,22,11,1,37,4,-0.575,1.1
Ctrl,R3R4,22,11,1,38,4,-0.375,1
Ctrl,R3R4,22,11,1,39,4,-0.7,0.7
Ctrl,R3R4,22,11,1,40,4,-0.8,1
Ctrl,R3R4,22,11,1,41,4,-0.8,0.8
Ctrl,R3R4,22,11,1,42,3,0.8,1.05
Ctrl,R3R4,22,11,1,42,4,-0.4625,0.8
Ctrl,R3R4,22,11,1,43,3,0.925,1.3
Ctrl,R3R4,22,11,1,43,4,-0.775,1
Ctrl,R3R4,24,21,1,1,3,0.675,1
Ctrl,R3R4,24,21,1,2,3,0.5667,1.05
Ctrl,R3R4,24,21,1,2,4,-1.55,1.2
Ctrl,R3R4,24,21,1,3,3,0.6,1
Ctrl,R3R4,24,21,1,3,4,-0.75,0.9
Ctrl,R3R4,24,21,1,4,3,0.8,1.05
Ctrl,R3R4,24,21,1,4,4,-0.775,0.9
Ctrl,R3R4,24,21,1,5,3,0.65,1.45
Ctrl,R3R4,24,21,1,5,4,-0.95,0.65
Ctrl,R3R4,24,21,1,6,4,-0.5,1.05
Ctrl,R3R4,24,21,1,7,3,0.875,0.9
Ctrl,R3R4,24,21,1,7,4,-1.2375,1.05
Ctrl,R3R4,24,21,1,8,3,0.4,0.9
Ctrl,R3R4,24,21,1,8,4,-1,1
Ctrl,R3R4,24,21,1,9,3,0.7,1.15
Ctrl,R3R4,24,21,1,9,4,-0.575,0.8
Ctrl,R3R4,24,21,1,10,3,0.65,1.25
Ctrl,R3R4,24,21,1,10,4,-0.6,1
Ctrl,R3R4,24,21,1,11,4,-1.1,1.1
Ctrl,R3R4,24,21,1,12,4,-0.725,0.95
Ctrl,R3R4,24,21,1,13,4,-0.875,1
Ctrl,R3R4,24,21,1,14,4,-0.475,0.7
Ctrl,R3R4,24,21,1,16,4,-0.85,0.9
Ctrl,R3R4,24,21,1,19,4,-0.65,0.9
Ctrl,R3R4,24,21,1,20,4,-1.05,0.95
Ctrl,R3R4,24,21,1,21,4,-0.95,0.8
Ctrl,R3R4,24,21,1,22,4,-0.7,1.15
Ctrl,R3R4,24,21,1,23,4,-0.6,0.95
Ctrl,R3R4,24,21,1,24,4,-1.1,0.85
Ctrl,R3R4,24,21,1,25,4,-1.45,1
Ctrl,R3R4,24,21,1,25,4,-1.4,1.05
Ctrl,R3R4,24,21,1,26,4,-0.8,0.95
Ctrl,R3R4,24,21,1,27,4,,
Ctrl,R3R4,24,22,1,1,3,0.8,1.05
Ctrl,R3R4,24,22,1,1,4,-0.8,0.85
Ctrl,R3R4,24,22,1,3,3,1,0.8
Ctrl,R3R4,24,22,1,3,4,-0.65,0.95
Ctrl,R3R4,24,22,1,4,3,1.1,1.15
Ctrl,R3R4,24,22,1,4,4,-0.3,0.9
Ctrl,R3R4,24,22,1,5,3,1.075,1.05
Ctrl,R3R4,24,22,1,5,4,-0.6,1
Ctrl,R3R4,24,22,1,6,3,0.9,0.9
Ctrl,R3R4,24,22,1,6,4,-0.2167,0.9
Ctrl,R3R4,24,22,1,7,3,0.45,0.85
Ctrl,R3R4,24,22,1,7,4,-0.6,1
Ctrl,R3R4,24,22,1,8,3,0.6,0.85
Ctrl,R3R4,24,22,1,8,4,-0.75,0.75
Ctrl,R3R4,24,22,1,9,3,1.1,1.35
Ctrl,R3R4,24,22,1,9,4,-0.6,0.95
Ctrl,R3R4,24,22,1,10,3,1.05,1.3
Ctrl,R3R4,24,22,1,10,4,-0.75,1.05
Ctrl,R3R4,24,22,1,11,3,0.85,0.85
Ctrl,R3R4,24,22,1,11,4,-0.775,0.85
Ctrl,R3R4,24,22,1,12,3,1,1.2
Ctrl,R3R4,24,22,1,12,4,-0.75,0.9
Ctrl,R3R4,24,22,1,13,3,0.725,0.8
Ctrl,R3R4,24,22,1,13,4,-0.45,0.65
Ctrl,R3R4,24,22,1,14,4,-0.825,0.8
Ctrl,R3R4,24,22,1,16,4,-0.6,1.05
Ctrl,R3R4,24,22,1,17,4,-0.6125,0.85
Ctrl,R3R4,24,22,1,18,4,-0.825,0.75
Ctrl,R3R4,24,23,1,1,3,0.725,0.8
Ctrl,R3R4,24,23,1,2,3,0.75,1.1
