CategoryID,TimeID,SampleID,RegionID,bundle_no,type_Rcell,type_bundle,angle,length
Fz,24,1,1,1,3,R3R4,0.5,0.95
Fz,24,1,1,1,4,R3R4,-0.55,0.85
Fz,24,1,1,2,3,R3R4,0.6,1
Fz,24,1,1,2,4,R3R4,-0.35,0.75
Fz,24,1,1,3,3,R3R4,0.7,0.85
Fz,24,1,1,3,4,R3R4,-0.675,0.55
Fz,24,1,1,4,3,R3R4,0.7,0.85
Fz,24,1,1,4,4,R3R4,-0.675,0.95
Fz,24,1,1,5,3,R3R4,0.8,1.25
Fz,24,1,1,5,4,R3R4,-0.6,0.8
Fz,24,1,1,6,3,R3R3,0.75,1
Fz,24,1,1,6,3,R3R3,-0.55,1.05
Fz,24,1,1,7,3,R3R4,0.95,1.05
Fz,24,1,1,7,4,R3R4,-0.65,0.85
Fz,24,1,1,8,3,R3R3,0.7,0.75
Fz,24,1,1,8,3,R3R3,-1.45,0.85
Fz,24,1,1,9,4,R3R4,-0.625,1.05
Fz,24,1,1,10,3,R3R4,0.7,1.1
Fz,24,1,1,10,4,R3R4,-0.525,0.95
Fz,24,1,1,11,4,R3R4,-0.5,1
Fz,24,1,1,12,4,R3R4,-0.2875,0.75
Fz,24,1,1,13,3,R3R4,0.9,0.9
Fz,24,1,1,13,4,R3R4,-0.525,0.75
Fz,24,1,1,27,4,R3R4,-0.633333333,0.8
Fz,24,5,1,1,3,R3R3,0.9,1.05
Fz,24,5,1,1,3,R3R3,-0.875,0.95
Fz,24,5,1,2,3,R3R4,0.95,1.05
Fz,24,5,1,2,4,R3R4,-0.5,0.8
Fz,24,3,1,1,3,R3R4,0.8,1.05
Fz,24,3,1,1,4,R3R4,-0.85,0.95
Fz,24,3,1,2,3,R3R4,1.25,1.1
Fz,24,3,1,2,4,R3R4,-0.808333333,0.8
Fz,24,3,1,3,3,R3R3,0.95,0.95
Fz,24,3,1,3,3,R3R3,-0.8,0.85
Fz,24,3,1,4,3,R3R4,0.925,0.8
Fz,24,3,1,4,4,R3R4,-0.725,0.8
Fz,24,3,1,5,4,R3R4,-1.025,0.85
Fz,24,3,1,6,3,R3R4,0.1,0.95
Fz,24,3,1,6,4,R3R4,-0.6,1
Fz,24,3,1,8,3,R3R4,1,1.35
Fz,24,3,1,8,4,R3R4,-0.75,0.7
Fz,24,3,1,9,3,R3R4,0.8,0.95
Fz,24,3,1,9,4,R3R4,-0.5,0.8
Fz,24,3,1,10,3,R3R4,0.9,1.3
Fz,24,3,1,10,4,R3R4,-1.4,0.9
Fz,24,3,1,11,4,R3R4,-0.3,0.8
Fz,24,3,1,12,3,R3R4,0.7125,0.85
Fz,24,3,1,12,4,R3R4,-1.133333333,0.55
Fz,24,3,1,13,4,R3R4,-1.175,0.8
Fz,24,3,1,14,4,R3R4,-1.05,0.8
Fz,24,4,1,1,3,R3R3,0.35,1.05
Fz,24,4,1,1,3,R3R3,-1.191666667,0.95
Fz,24,4,1,2,3,R3R3,0.8,0.7
Fz,24,4,1,2,3,R3R3,-0.85,0.65
Fz,24,4,1,3,3,R3R4,0.425,0.85
Fz,24,4,1,3,4,R3R4,-0.833333333,0.8
Fz,24,4,1,4,3,R3R4,0.9,0.95
Fz,24,4,1,4,4,R3R4,-0.95,1
Fz,24,4,1,5,3,R3R3,0.75,1.2
Fz,24,4,1,5,3,R3R3,-0.75,1.05
Fz,24,4,1,6,3,R3R4,0.75,0.8
Fz,24,4,1,6,4,R3R4,-0.525,0.8
Fz,24,4,1,7,3,R3R4,0.5,0.95
Fz,24,4,1,7,4,R3R4,-0.975,1
Fz,24,4,1,8,3,R3R3,1.2,1.4
Fz,24,4,1,8,3,R3R3,-0.65,1
Fz,24,4,1,9,3,R3R3,0.75,1
Fz,24,4,1,9,3,R3R3,-0.7,1
Fz,24,4,1,10,3,R3R3,1.3,1
Fz,24,4,1,10,3,R3R3,-1.25,1
Fz,24,4,1,11,4,R3R4,-0.6,0.9
Fz,24,4,1,12,3,R3R4,1.1,0.8
Fz,24,4,1,12,4,R3R4,-0.55,0.9
Fz,24,4,1,13,3,R3R4,0.6,1.1
Fz,24,4,1,13,4,R3R4,-1.6,0.95
Fz,24,4,1,14,4,R3R4,-0.85,0.95
Fz,24,4,1,15,4,R3R4,-0.65,1.15
Fz,24,4,1,16,4,R3R4,-0.975,1
Fz,24,4,1,17,4,R3R4,-1,0.8
Fz,24,4,1,18,3,R3R4,1.1,0.95
Fz,24,4,1,18,4,R3R4,-0.5,1.15
Fz,24,4,1,19,4,R3R4,-0.75,0.9
Fz,28,1,1,3,3,R3R4,0.7,1.3
Fz,28,1,1,3,4,R3R4,-0.725,1
Fz,28,1,1,4,3,R3R3,-1.016666667,1.7
Fz,28,1,1,4,3,R3R3,0.55,1.45
Fz,28,1,1,5,4,R3R4,-0.725,0.95
Fz,28,1,1,6,4,R3R4,-0.6,1
Fz,28,1,1,8,3,R3R3,1.066666667,1.6
Fz,28,1,1,8,3,R3R3,-0.45,1.9
Fz,28,1,1,10,4,R3R4,-0.95,1
Fz,28,1,1,11,4,R3R4,-1.025,0.85
Fz,28,1,1,12,3,R3R3,-1,1.55
Fz,28,1,1,12,3,R3R3,0.6,1.7
Fz,28,1,1,13,4,R3R4,-0.825,1.1
Fz,28,1,1,14,4,R3R4,-0.875,0.85
Fz,28,1,1,15,4,R3R4,-0.55,0.85
Fz,28,1,1,16,4,R3R4,-0.675,1
Fz,28,1,1,17,4,R3R4,-0.675,1
Fz,28,1,1,18,3,R3R4,0.75,1.5
Fz,28,1,1,18,4,R3R4,-0.8,0.85
Fz,28,1,1,19,3,R3R4,0.825,1.35
Fz,28,1,1,19,4,R3R4,-0.575,0.95
Fz,28,1,1,20,3,R3R4,0.966666667,1.55
Fz,28,1,1,20,4,R3R4,-0.7625,0.9
Fz,28,1,1,21,4,R3R4,-0.316666667,0.9
Fz,28,1,1,22,4,R3R4,-1.15,0.9
Fz,28,1,1,23,4,R3R4,-0.6,0.95
Fz,28,1,1,24,4,R3R4,-0.75,0.7
Fz,28,1,1,25,3,R3R4,0.7,1.9
Fz,28,1,1,25,4,R3R4,-0.325,0.85
Fz,28,1,1,26,3,R3R4,0.7,1.3
Fz,28,1,1,26,4,R3R4,-0.65,0.85
Fz,28,1,1,27,3,R3R4,0.95,1.1
Fz,28,1,1,28,4,R3R4,-0.625,0.9
Fz,28,1,1,29,3,R3R3,-1.1,1.55
Fz,28,1,1,29,3,R3R3,0.75,1.65
Fz,28,1,1,30,4,R3R4,-0.9,0.85
Fz,28,1,1,31,4,R3R4,-0.85,1.35
Fz,28,2,1,1,3,R3R3,0.8,1.6
Fz,28,2,1,1,3,R3R3,-0.3,1.55
Fz,28,2,1,2,3,R3R3,0.425,1.3
Fz,28,2,1,2,3,R3R3,-0.8,1.35
Fz,28,2,1,3,3,R3R4,0.9,1.55
Fz,28,2,1,3,4,R3R4,-0.825,1.3
Fz,28,2,1,5,4,R3R4,-0.7,1.2
Fz,28,2,1,6,4,R3R4,-0.9,1.1
Fz,28,2,1,7,4,R3R4,-0.55,1.3
Fz,28,2,1,8,3,R3R4,0.75,1.5
Fz,28,2,1,8,4,R3R4,-1.175,0.7
Fz,28,2,1,9,3,R3R3,-0.65,1.4
Fz,28,2,1,9,3,R3R3,0.875,1.45
Fz,28,2,1,10,4,R3R4,-0.75,1
Fz,28,2,1,11,4,R3R4,-0.9,0.95
Fz,28,2,1,12,4,R3R4,-0.475,1.1
Fz,28,2,1,13,4,R3R4,-0.9,0.9
Fz,28,2,1,14,4,R3R4,-0.875,1.3
Fz,28,2,1,15,4,R3R4,-0.8125,1.1
Fz,28,2,1,16,4,R3R4,-0.783333333,1.2
Fz,28,9,1,19,3,R3R4,1.175,1.35
Fz,28,9,1,40,3,R3R4,1.175,1.25
Fz,28,9,1,9,3,R3R4,0.975,1.45
Fz,28,9,1,46,3,R3R3,0.883333333,1.4
Fz,28,9,1,10,3,R3R4,0.875,1.35
Fz,28,9,1,15,3,R3R4,0.825,1.4
Fz,28,9,1,3,3,R3R4,0.8,1.55
Fz,28,9,1,45,3,R3R4,0.7,1.4
Fz,28,9,1,1,3,R3R3,0.65,1.15
Fz,28,9,1,17,3,R3R4,0.65,1.6
Fz,28,9,1,39,3,R3R3,0.55,1.15
Fz,28,9,1,16,3,R3R4,0.5,1.4
Fz,28,9,1,11,3,R3R3,0.475,1.45
Fz,28,9,1,22,3,R3R4,0.3,1.2
Fz,28,9,1,40,4,R3R4,-0.2,0.95
Fz,28,9,1,18,4,R3R4,-0.316666667,0.95
Fz,28,9,1,2,4,R3R4,-0.4,1
Fz,28,9,1,42,4,R3R4,-0.425,0.9
Fz,28,9,1,6,4,R3R4,-0.45,1.05
Fz,28,9,1,3,4,R3R4,-0.5,0.9
Fz,28,9,1,14,4,R3R4,-0.575,1.1
Fz,28,9,1,5,4,R3R4,-0.6,1.05
Fz,28,9,1,41,4,R3R4,-0.6,0.95
Fz,28,9,1,45,4,R3R4,-0.6125,1.1
Fz,28,9,1,13,4,R3R4,-0.625,0.95
Fz,28,9,1,16,4,R3R4,-0.45,1.4
Fz,28,9,1,7,4,R3R4,-0.5,1.05
Fz,28,9,1,8,4,R3R4,-0.7,0.95
Fz,28,9,1,19,4,R3R4,-0.7,0.85
Fz,28,9,1,17,4,R3R4,-0.725,1.1
Fz,28,9,1,44,4,R3R4,-0.725,0.85
Fz,28,9,1,4,4,R3R4,-0.775,1
Fz,28,9,1,9,4,R3R4,-0.85,1
Fz,28,9,1,1,3,R3R3,-0.9,1.05
Fz,28,9,1,46,3,R3R3,-0.9,1.35
Fz,28,9,1,10,4,R3R4,-0.95,0.85
Fz,28,9,1,39,3,R3R3,-0.95,1.1
Fz,28,9,1,11,3,R3R3,-0.975,1.4
Fz,28,9,1,20,4,R3R4,-0.975,1.2
Fz,28,9,1,12,4,R3R4,-1.025,1.2
Fz,28,9,1,21,4,R3R4,-1.1,1.15
Fz,28,9,1,43,4,R3R4,-1.3,1.15
Fz,28,23,1,1,3,R3R3,-1.05,1.35
Fz,28,23,1,1,3,R3R3,0.9,1.6
Fz,28,23,1,2,4,R3R4,-1.025,1.15
Fz,28,23,1,3,4,R3R4,-1.025,0.85
Fz,28,23,1,4,4,R3R4,-0.65,1
Fz,28,23,1,5,4,R3R4,-0.78125,0.85
Fz,28,23,1,6,4,R3R4,-0.41,1.15
Fz,28,23,1,7,4,R3R4,-0.7,1.05
Fz,28,23,1,8,3,R3R3,0.525,1.55
Fz,28,23,1,8,3,R3R3,-0.5125,1.7
Fz,28,23,1,9,3,R3R4,1.025,1.25
Fz,28,23,1,9,4,R3R4,-0.775,0.95
Fz,28,23,1,10,4,R3R4,-0.333333333,0.9
Fz,28,23,1,11,3,R3R4,1.2,1.45
Fz,28,23,1,11,4,R3R4,-0.6,1
Fz,28,23,1,12,3,R3R4,0.85,1.5
Fz,28,23,1,13,4,R3R4,-0.8625,1
Fz,28,23,1,14,4,R3R4,-0.525,1.25
Fz,28,23,1,15,4,R3R4,-1.025,1.05
Fz,28,23,1,16,4,R3R4,-1.325,0.85
Fz,28,23,1,17,3,R3R4,0.8875,1.45
Fz,28,23,1,17,4,R3R4,-0.466666667,0.85
Fz,28,23,1,18,3,R3R4,0.225,1.75
Fz,28,23,1,18,4,R3R4,-0.625,0.85
Fz,28,23,1,19,4,R3R4,-1.0875,0.9
Fz,28,23,1,30,3,R3R4,0.85,1.5
Fz,28,23,1,30,4,R3R4,-0.825,1.05
Fz,28,23,1,32,4,R3R4,-0.8,1
Fz,28,23,1,34,4,R3R4,-0.925,1.15
Fz,28,23,1,46,3,R3R4,0.3,1.55
Fz,28,23,1,46,4,R3R4,-0.383333333,0.85
Fz,28,23,1,48,4,R3R4,-1.25,1.15
Fz,28,23,1,68,4,R3R4,-0.85,1.3
Fz,28,23,1,100,4,R3R4,-1.25,0.95
Fz,28,24,1,1,3,R3R3,0.825,1.4
Fz,28,24,1,1,3,R3R3,-1.3,1.5
Fz,28,24,1,2,4,R3R4,-0.95,0.95
Fz,28,24,1,3,4,R3R4,-0.525,0.95
Fz,28,24,1,4,4,R3R4,-0.6,1
Fz,28,24,1,5,3,R3R4,1,1.45
Fz,28,24,1,5,4,R3R4,-0.6,1.05
Fz,28,24,1,7,3,R3R4,0.675,1.65
Fz,28,24,1,7,4,R3R4,-0.775,0.85
Fz,28,24,1,8,3,R3R3,-1,1.6
Fz,28,24,1,8,3,R3R3,0.875,1.75
Fz,28,24,1,9,4,R3R4,-1.075,0.85
Fz,28,24,1,10,3,R3R3,-0.225,1.2
Fz,28,24,1,10,3,R3R3,0.8,1.55
Fz,28,24,1,11,4,R3R4,-0.975,0.95
Fz,28,24,1,12,4,R3R4,-1.25,1.05
Fz,28,24,1,13,4,R3R4,-0.925,1.2
Fz,28,24,1,14,4,R3R4,-0.725,0.95
Fz,28,24,1,15,4,R3R4,-0.725,1.1
Fz,28,24,1,16,3,R3R4,0.95,1.45
Fz,28,24,1,16,4,R3R4,-0.8,1
Fz,28,24,1,17,4,R3R4,-0.483333333,0.9
Fz,28,24,1,18,4,R3R4,-0.733333333,0.85
Fz,28,24,1,19,4,R3R4,-0.9125,0.85
Fz,28,24,1,20,3,R3R3,-0.65,1.45
Fz,28,24,1,20,3,R3R3,0.6875,1.6
Fz,28,24,1,22,3,R3R3,0.725,1.4
Fz,28,24,1,22,3,R3R3,-0.8,1.4
Fz,28,24,1,23,4,R3R4,-0.55,1.15
Fz,28,24,1,24,4,R3R4,-0.975,0.95
Fz,28,24,1,26,3,R3R4,0.7,1.45
Fz,28,24,1,26,4,R3R4,-0.65,0.95
Fz,28,24,1,27,3,R3R4,0.975,1.35
Fz,28,24,1,27,4,R3R4,-0.875,1.05
Fz,28,24,1,28,4,R3R4,-0.8,0.9
Fz,28,24,1,49,3,R3R4,1.5,2.15
Fz,28,24,1,49,4,R3R4,-0.7875,0.8
Fz,28,24,1,78,4,R3R4,-0.95,0.9
Fz,28,24,1,106,4,R3R4,-0.65,1.25
Fz,28,26,1,1,3,R3R3,-0.5,1.4
Fz,28,26,1,1,3,R3R3,0.95,1.45
Fz,28,26,1,2,4,R3R4,-0.575,0.9
Fz,28,26,1,3,3,R3R3,-0.6,1.5
Fz,28,26,1,3,3,R3R3,0.7,1.55
Fz,28,26,1,5,3,R3R4,0.525,1.85
Fz,28,26,1,5,4,R3R4,-0.7,1
Fz,28,26,1,6,4,R3R4,-0.575,0.85
Fz,28,26,1,7,4,R3R4,-0.625,1.1
Fz,28,26,1,8,4,R3R4,-1,1.3
Fz,28,26,1,9,4,R3R4,-0.575,1
Fz,28,26,1,10,4,R3R4,-1.075,1.1
Fz,28,26,1,12,4,R3R4,-0.75,1.2
Fz,28,26,1,13,4,R3R4,-0.675,0.95
Fz,28,26,1,14,3,R3R4,1.025,1.3
Fz,28,26,1,15,3,R3R4,0.525,1.6
Fz,28,26,1,16,3,R3R4,1.075,1.65
Fz,28,26,1,16,4,R3R4,-0.85,1
Fz,28,26,1,17,3,R3R4,0.65,1.7
Fz,28,26,1,17,4,R3R4,-0.75,0.9
Fz,28,26,1,18,4,R3R4,-0.4875,1.1
Fz,28,26,1,19,3,R3R4,0.775,1.7
Fz,28,26,1,19,4,R3R4,-0.5,1.05
Fz,28,26,1,20,4,R3R4,-0.5,1.25
Fz,28,26,1,21,4,R3R4,-0.6,0.9
Fz,28,26,1,22,3,R3R4,0.416666667,1.9
Fz,28,26,1,22,4,R3R4,-0.5375,1.05
Fz,28,26,1,23,4,R3R4,-1.175,1.2
Fz,28,26,1,25,3,R3R4,0.75,1.35
Fz,28,26,1,25,4,R3R4,-0.85,1
Fz,28,26,1,26,4,R3R4,-0.925,0.9
Fz,28,26,1,27,4,R3R4,-0.675,0.95
Fz,28,26,1,28,3,R3R4,0.825,1.5
Fz,28,26,1,28,4,R3R4,-1.4,1.4
Fz,28,26,1,29,3,R3R4,1.05,1.35
Fz,28,26,1,29,4,R3R4,-0.825,1.15
Fz,28,26,1,34,4,R3R4,-0.575,1.05
Fz,28,26,1,36,3,R3R4,0.45,1.6
Fz,28,26,1,36,4,R3R4,-0.5,1.2
Fz,28,26,1,64,4,R3R4,-0.675,1.15
Fz,28,26,1,65,4,R3R4,-0.775,0.85
Fz,28,26,1,103,4,R3R4,-1.05,1.2
Fz,28,38,1,1,3,R3R3,-1.45,1.1
Fz,28,38,1,1,3,R3R3,0.7,1.45
Fz,28,38,1,2,4,R3R4,-0.525,0.95
Fz,28,38,1,3,4,R3R4,-0.725,1.05
Fz,28,38,1,4,3,R3R4,0.75,1.25
Fz,28,38,1,4,4,R3R4,-0.55,1.05
Fz,28,38,1,5,3,R3R3,-0.55,1.4
Fz,28,38,1,5,3,R3R3,0.75,1.45
Fz,28,38,1,6,4,R3R4,-0.3,0.9
Fz,28,38,1,7,4,R3R4,-0.9,1.2
Fz,28,38,1,8,4,R3R4,-0.625,1.15
Fz,28,38,1,9,3,R3R4,0.75,1.85
Fz,28,38,1,9,4,R3R4,-0.6,1
Fz,28,38,1,10,3,R3R3,-0.7,1
Fz,28,38,1,10,3,R3R3,0.725,1.3
Fz,28,38,1,11,3,R3R4,0.8875,1.7
Fz,28,38,1,11,4,R3R4,-0.85,0.9
Fz,28,38,1,12,3,R3R4,0.575,1.9
Fz,28,38,1,12,4,R3R4,-0.725,0.9
Fz,28,38,1,13,4,R3R4,-0.516666667,0.9
