CategoryID,TimeID,SampleID,RegionID,bundle_no,type_Rcell,type_bundle,angle,length
Nic,22,2,1,1,4,R4R4,0.6,1
Nic,22,2,1,1,4,R4R4,-0.75,1
Nic,22,2,1,2,3,R3R4,1,1.05
Nic,22,2,1,2,4,R3R4,-0.625,0.7
Nic,22,2,1,3,3,R3R4,0.7,1.2
Nic,22,2,1,3,4,R3R4,-0.85,0.95
Nic,22,2,1,4,3,R3R4,0.8,1.1
Nic,22,2,1,4,4,R3R4,-1,0.9
Nic,22,2,1,5,3,R3R4,0.95,1
Nic,22,2,1,5,4,R3R4,-0.625,0.7
Nic,22,2,1,6,3,R3R4,0.85,0.85
Nic,22,2,1,6,4,R3R4,-0.625,0.65
Nic,22,2,1,7,4,R3R4,-0.675,0.8
Nic,22,2,1,8,4,R3R4,-0.9,0.85
Nic,22,2,1,9,4,R3R4,-0.675,0.9
Nic,22,2,1,10,4,R3R4,-1,0.9
Nic,22,2,1,11,4,R3R4,-0.7,0.95
Nic,22,2,1,12,4,R3R4,-0.675,0.7
Nic,22,2,1,13,4,R3R4,-0.85,0.75
Nic,22,2,1,14,3,R3R4,0.8,0.95
Nic,22,2,1,14,4,R3R4,-0.7,0.85
Nic,22,2,1,15,4,R3R4,-0.65,0.95
Nic,22,2,1,16,4,R3R4,-0.483333333,0.75
Nic,22,2,1,17,4,R3R4,-0.85,1.15
Nic,22,4,1,1,4,R4R4,0.9,0.8
Nic,22,4,1,1,4,R4R4,-0.65,0.85
Nic,22,4,1,2,4,R4R4,0.9,1
Nic,22,4,1,2,4,R4R4,-0.9,1
Nic,22,4,1,3,3,R3R4,0.95,1.25
Nic,22,4,1,3,4,R3R4,-0.85,1
Nic,22,4,1,4,4,R4R4,0.7,0.9
Nic,22,4,1,4,4,R4R4,-0.9,1
Nic,22,4,1,5,4,R4R4,0.6,0.85
Nic,22,4,1,5,4,R4R4,-0.6,0.75
Nic,22,4,1,6,4,R3R4,-0.2,0.95
Nic,22,4,1,7,3,R3R4,0.8,1.15
Nic,22,4,1,7,4,R3R4,-0.95,1.05
Nic,22,4,1,8,4,R4R4,0.6,0.85
Nic,22,4,1,8,4,R4R4,-0.6,1
Nic,22,4,1,9,3,R3R4,0.75,1.4
Nic,22,4,1,9,4,R3R4,-1.625,1
Nic,22,4,1,11,3,R3R4,0.675,1.05
Nic,22,4,1,11,4,R3R4,-0.45,1.1
Nic,22,4,1,12,3,R3R4,1.025,1.25
Nic,22,4,1,12,4,R3R4,-0.85,0.95
Nic,22,4,1,13,4,R3R4,-0.525,0.95
Nic,22,4,1,14,3,R3R4,0.95,1.05
Nic,22,4,1,14,4,R3R4,-0.2,0.95
Nic,22,4,1,15,3,R3R4,0.7625,1.1
Nic,22,4,1,15,4,R3R4,-0.55,1.05
Nic,22,4,1,16,4,R3R4,-0.525,0.9
Nic,22,4,1,17,4,R3R4,-0.5,1.05
Nic,22,4,1,18,3,R3R4,0.8,1.1
Nic,22,4,1,18,4,R3R4,-0.7375,0.8
Nic,22,4,1,37,4,R3R4,-1.1,0.85
Nic,22,4,1,39,4,R3R4,-1.25,0.75
Nic,22,4,1,41,4,R3R4,-1.075,0.9
Nic,22,4,1,43,4,R3R4,-0.65,0.9
Nic,22,4,1,45,3,R3R4,0.85,0.8
