 ,Label,X,Y,Major,Minor,Angle,Ch,Slice
1,ctrl_26hrs_example1.tif:0109-0110-0228:112,19.413,10.306,0.101,0.101,0.000,4,28
2,ctrl_26hrs_example1.tif:0109-0110-0228:112,20.432,11.354,0.101,0.101,0.000,4,28
3,ctrl_26hrs_example1.tif:0109-0110-0228:112,21.600,10.785,0.101,0.101,0.000,4,28
4,ctrl_26hrs_example1.tif:0109-0110-0228:112,21.690,9.557,0.101,0.101,0.000,4,28
5,ctrl_26hrs_example1.tif:0109-0110-0228:112,21.151,8.718,0.101,0.101,0.000,4,28
6,ctrl_26hrs_example1.tif:0109-0110-0228:112,19.683,8.538,0.101,0.101,0.000,4,28
7,ctrl_26hrs_example1.tif:0109-0110-0228:112,20.462,9.767,0.101,0.101,0.000,4,28
8,ctrl_26hrs_example1.tif:0133-0145-0193:136,16.058,13.871,0.101,0.101,0.000,1,30
9,ctrl_26hrs_example1.tif:0133-0145-0193:136,16.987,14.170,0.101,0.101,0.000,1,30
10,ctrl_26hrs_example1.tif:0133-0145-0193:136,18.065,13.931,0.101,0.101,0.000,1,30
11,ctrl_26hrs_example1.tif:0133-0145-0193:136,18.724,12.702,0.101,0.101,0.000,1,30
12,ctrl_26hrs_example1.tif:0133-0145-0193:136,17.376,11.894,0.101,0.101,0.000,1,30
13,ctrl_26hrs_example1.tif:0133-0145-0193:136,16.178,12.103,0.101,0.101,0.000,1,30
14,ctrl_26hrs_example1.tif:0133-0145-0193:136,17.316,12.972,0.101,0.101,0.000,1,30
15,ctrl_26hrs_example1.tif:0137-0140-0091:140,6.890,13.332,0.101,0.101,0.000,1,36
16,ctrl_26hrs_example1.tif:0137-0140-0091:140,7.999,13.811,0.101,0.101,0.000,1,36
17,ctrl_26hrs_example1.tif:0137-0140-0091:140,9.137,13.511,0.101,0.101,0.000,1,36
18,ctrl_26hrs_example1.tif:0137-0140-0091:140,9.617,12.403,0.101,0.101,0.000,1,36
19,ctrl_26hrs_example1.tif:0137-0140-0091:140,8.628,11.444,0.101,0.101,0.000,1,36
20,ctrl_26hrs_example1.tif:0137-0140-0091:140,7.250,11.804,0.101,0.101,0.000,1,36
21,ctrl_26hrs_example1.tif:0137-0140-0091:140,8.538,12.672,0.101,0.101,0.000,1,36
22,ctrl_26hrs_example1.tif:0132-0105-0213:132,19.152,9.492,3.270,1.761,177.810,4,33
23,ctrl_26hrs_example1.tif:0152-0156-0242:152,21.840,14.111,3.639,1.990,177.180,4,38
24,ctrl_26hrs_example1.tif:0140-0120-0286:140,25.762,10.782,3.754,1.488,169.667,4,35
25,ctrl_26hrs_example1.tif:0120-0070-0247:120,22.274,6.325,4.290,2.524,169.379,4,30
26,ctrl_26hrs_example1.tif:0144-0169-0340:144,30.576,15.281,4.117,2.009,3.258,4,36
27,ctrl_26hrs_example1.tif:0152-0087-0345:152,31.096,7.888,3.120,2.044,5.128,4,38
28,ctrl_26hrs_example1.tif:0132-0141-0167:132,15.081,12.751,4.719,2.127,173.811,4,33
29,ctrl_26hrs_example1.tif:0180-0183-0194:180,17.457,16.527,4.125,1.872,157.177,4,45
30,ctrl_26hrs_example1.tif:0204-0192-0277:204,24.985,17.301,4.197,1.897,171.454,4,51
31,ctrl_26hrs_example1.tif:0156-0136-0075:156,6.896,12.359,3.667,2.067,171.819,4,39
32,ctrl_26hrs_example1.tif:0184-0172-0112:184,10.101,15.501,4.040,2.209,172.487,4,46
33,ctrl_26hrs_example1.tif:0124-0100-0120:124,10.798,9.012,4.406,2.388,13.307,4,31
