 ,Label,X,Y,Major,Minor,Angle,Ch,Slice
1,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,21.707,6.853,0.090,0.090,0.000,1,48
2,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,20.000,6.560,0.090,0.090,0.000,1,48
3,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,18.987,7.093,0.090,0.090,0.000,1,48
4,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,19.227,8.400,0.090,0.090,0.000,1,48
5,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,20.720,8.853,0.090,0.090,0.000,1,48
6,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,21.973,8.640,0.090,0.090,0.000,1,48
7,Ctrl80_26hrs_smp1_region1_1.tif:0192-0097-0256:189,19.893,7.867,0.090,0.090,0.000,1,48
8,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,16.827,3.787,0.090,0.090,0.000,1,51
9,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,15.147,3.573,0.090,0.090,0.000,1,51
10,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,13.653,4.373,0.090,0.090,0.000,1,51
11,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,13.920,5.387,0.090,0.090,0.000,1,51
12,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,15.813,6.133,0.090,0.090,0.000,1,51
13,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,17.467,5.840,0.090,0.090,0.000,1,51
14,Ctrl80_26hrs_smp1_region1_1.tif:0204-0061-0194:201,15.093,4.933,0.090,0.090,0.000,1,51
15,Ctrl80_26hrs_smp1_region1_1.tif:0185-0097-0284:185,22.754,7.788,4.523,1.312,0.236,1,47
16,Ctrl80_26hrs_smp1_region1_1.tif:0189-0096-0190:189,15.234,7.735,4.179,1.203,2.719,1,48
17,Ctrl80_26hrs_smp1_region1_1.tif:0189-0129-0153:189,12.313,10.354,4.514,1.720,179.332,1,48
18,Ctrl80_26hrs_smp1_region1_1.tif:0209-0059-0130:209,10.408,4.734,4.193,1.607,3.888,1,53
19,Ctrl80_26hrs_smp1_region1_1.tif:0193-0058-0229:193,18.376,4.695,5.113,1.181,176.437,1,49
20,Ctrl80_26hrs_smp1_region1_1.tif:0185-0132-0245:185,19.618,10.641,3.956,1.454,175.057,1,47
21,Ctrl80_26hrs_smp1_region1_1.tif:0209-0025-0162:209,12.981,2.063,4.560,1.687,179.139,1,53
22,Ctrl80_26hrs_smp1_region1_1.tif:0197-0097-0066:197,5.271,7.828,4.954,1.477,176.662,1,50
23,Ctrl80_26hrs_smp1_region1_1.tif:0217-0029-0044:217,3.534,2.360,4.746,1.408,2.827,1,55
